Unicast lids [0x0-0xaa] of switch guid 0xf4521403005cc310
0x0069 008 : (Channel Adapter portguid guid: r04n08)
0x006a 022 : (Channel Adapter portguid guid: r03n10)
0x006b 021 : (Channel Adapter portguid guid: r01n02)
0x006c 022 : (Channel Adapter portguid guid: r05n09)
0x006d 021 : (Channel Adapter portguid guid: r09n16)
0x006e 022 : (Channel Adapter portguid guid: r09n08)
0x006f 022 : (Channel Adapter portguid guid: r01n16)
0x0070 021 : (Channel Adapter portguid guid: r03n04)
0x0071 010 : (Channel Adapter portguid guid: r04n10)
0x0072 012 : (Channel Adapter portguid guid: r04n12)
0x0073 004 : (Channel Adapter portguid guid: r04n04)
0x0074 024 : (Channel Adapter portguid guid: r01n11)
0x0075 024 : (Channel Adapter portguid guid: r03n01)
0x0076 022 : (Channel Adapter portguid guid: r09n04)
0x0077 023 : (Channel Adapter portguid guid: r09n14)
0x0078 024 : (Channel Adapter portguid guid: r01n03)
0x0079 021 : (Channel Adapter portguid guid: r09n06)
0x007a 024 : (Channel Adapter portguid guid: r03n17)
0x007b 023 : (Channel Adapter portguid guid: r01n05)
0x007c 021 : (Channel Adapter portguid guid: r01n10)
0x007d 023 : (Channel Adapter portguid guid: r09n09)
0x007e 021 : (Channel Adapter portguid guid: r03n12)
0x007f 023 : (Channel Adapter portguid guid: r01n17)
0x0080 021 : (Channel Adapter portguid guid: r09n10)
0x0081 023 : (Channel Adapter portguid guid: r09n05)
0x0082 002 : (Channel Adapter portguid guid: r04n02)
0x0083 023 : (Channel Adapter portguid guid: r03n15)
0x0084 001 : (Channel Adapter portguid guid: r04n01)
0x0085 014 : (Channel Adapter portguid guid: r04n14)
0x0086 024 : (Channel Adapter portguid guid: r09n17)
0x0087 003 : (Channel Adapter portguid guid: r04n03)
0x0088 011 : (Channel Adapter portguid guid: r04n11)
0x0089 021 : (Channel Adapter portguid guid: r01n14)
0x008a 015 : (Channel Adapter portguid guid: r04n15)
0x008b 018 : (Channel Adapter portguid guid: r04n18)
0x008c 023 : (Channel Adapter portguid guid: r03n11)
0x008d 021 : (Channel Adapter portguid guid: r09n02)
0x008e 023 : (Channel Adapter portguid guid: r09n01)
0x008f 021 : (Channel Adapter portguid guid: r03n16)
0x0090 021 : (Channel Adapter portguid guid: r03n08)
0x0091 006 : (Channel Adapter portguid guid: r04n06)
0x0092 022 : (Channel Adapter portguid guid: r03n06)
0x0093 022 : (Channel Adapter portguid guid: r03n02)
0x0094 023 : (Channel Adapter portguid guid: r01n13)
0x0095 016 : (Channel Adapter portguid guid: r04n16)
0x0098 022 : (Channel Adapter portguid guid: r01n08)
0x0099 024 : (Channel Adapter portguid guid: r03n09)
0x009a 024 : (Channel Adapter portguid guid: r01n15)
0x009b 007 : (Channel Adapter portguid guid: r04n07)
0x009c 021 : (Channel Adapter portguid guid: r01n06)
0x009d 023 : (Channel Adapter portguid guid: r03n03)
0x009e 017 : (Channel Adapter portguid guid: r04n17)
0x009f 024 : (Channel Adapter portguid guid: r03n05)
0x00a0 023 : (Channel Adapter portguid guid: r01n01)
0x00a1 022 : (Channel Adapter portguid guid: MF0;switch-e1b17c:SX6036/U1)
0x00a2 024 : (Channel Adapter portguid guid: MF0;switch-e68364:SX6036/U1)
0x00a3 021 : (Channel Adapter portguid guid: MF0;switch-e1b324:SX6036/U1)
0x00a6 024 : (Channel Adapter portguid guid: MF0;ibswitch:SX6036/U1)
